Total_Goals,H_Goal_Conversion,A_Goal_Conversion,Expected_Goals_Home,Expected_Goals_Away,H_Shot_Efficiency,A_Shot_Efficiency,H_Attack_Intensity,A_Attack_Intensity,Match_Intensity,H_Avg_Goals_Last5,A_Avg_Goals_Last5,H_Avg_Corners_Last5,A_Avg_Corners_Last5
4,0.2857142857142857,0.0,4.800000000000001,1.8,0.8235294117647058,0.5,37,18,55,0.0,0.0,0.0,0.0
6,0.4,0.4,3.7,2.2,0.5882352941176471,0.4166666666666667,34,24,58,0.0,0.0,0.0,0.0
4,0.3333333333333333,0.3333333333333333,1.7,3.0999999999999996,0.5,0.5625,17,29,46,0.0,0.0,0.0,0.0
4,0.5,0.3333333333333333,1.7,2.5999999999999996,0.6666666666666666,0.46153846153846156,15,27,42,0.0,0.0,0.0,0.0
2,0.25,0.0,3.0,2.1999999999999997,0.47058823529411764,0.5,31,22,53,0.0,0.0,0.0,0.0
0,0.0,0.0,1.7,1.2999999999999998,0.8,0.6,14,12,26,0.0,0.0,0.0,0.0
1,0.1,0.0,3.6,0.7,0.625,0.6666666666666666,32,6,38,0.0,0.0,0.0,0.0
1,0.5,0.0,0.8,3.0,0.25,0.5,12,30,42,0.0,0.0,0.0,0.0
4,0.5,0.2,2.0999999999999996,1.9,0.3,0.3333333333333333,29,24,53,0.0,0.0,0.0,0.0
2,0.2222222222222222,0.0,3.4,1.9,0.47368421052631576,0.6666666666666666,35,16,51,0.0,0.0,0.0,0.0
2,0.16666666666666666,0.0,4.6,2.3,0.7058823529411765,0.5714285714285714,39,22,61,0.0,0.0,0.0,0.0
2,0.6666666666666666,0.0,1.5,2.1999999999999997,0.25,0.42857142857142855,21,24,45,0.0,0.0,0.0,0.0
2,0.125,0.16666666666666666,2.8,2.4,0.6153846153846154,0.4,25,27,52,0.0,0.0,0.0,0.0
2,0.16666666666666666,0.25,2.3,1.7,0.5,0.36363636363636365,23,20,43,0.0,0.0,0.0,0.0
3,0.375,0.0,2.7,1.7,0.6153846153846154,0.5,24,17,41,0.0,0.0,0.0,0.0
6,0.4,0.5,3.7,1.5,0.6666666666666666,0.4444444444444444,32,16,48,0.0,0.0,0.0,0.0
5,0.75,0.4,2.1,2.1,0.4444444444444444,0.5,22,21,43,0.0,0.0,0.0,0.0
3,0.25,0.4,1.8,2.0,0.3333333333333333,0.7142857142857143,22,17,39,0.0,0.0,0.0,0.0
1,0.0,0.5,4.699999999999999,1.1,0.7058823529411765,0.5,40,11,51,0.0,0.0,0.0,0.0
8,0.5555555555555556,0.75,3.5,1.5,0.5,0.5714285714285714,35,14,49,2.0,0.0,10.0,5.0
0,0.0,0.0,1.8,3.2,0.5,0.6153846153846154,18,29,47,2.0,1.0,6.0,5.0
4,0.2222222222222222,0.5,3.8,1.4,0.75,0.5714285714285714,32,13,45,3.0,2.0,3.0,6.0
1,0.2,0.0,2.2,1.5,0.35714285714285715,0.3333333333333333,26,18,44,1.0,2.0,4.0,3.0
3,0.2,0.25,2.0,2.9,0.35714285714285715,0.8888888888888888,24,22,46,4.0,2.0,7.0,5.0
3,0.125,0.18181818181818182,2.8,4.1,0.5333333333333333,0.6875,27,35,62,1.0,0.0,5.0,0.0
2,0.3333333333333333,0.0,2.1999999999999997,0.8,0.4,0.2,25,14,39,3.0,1.0,9.0,5.0
6,0.42857142857142855,0.75,2.8000000000000003,1.3,0.5,0.4444444444444444,28,14,42,1.0,0.0,6.0,11.0
4,0.25,0.4,3.1,2.0,0.47058823529411764,0.625,32,18,50,0.0,1.0,11.0,6.0
2,0.1111111111111111,0.14285714285714285,3.4,3.1,0.75,0.6363636363636364,28,28,56,0.0,0.0,0.0,4.0
3,1.0,0.6666666666666666,1.2,1.2999999999999998,0.16666666666666666,0.375,16,15,31,2.0,0.0,6.0,6.0
6,0.5,0.0,4.1,1.3,0.5714285714285714,0.6666666666666666,38,11,49,2.0,0.0,7.0,1.0
2,0.14285714285714285,0.1111111111111111,2.5,3.8,0.4117647058823529,0.5625,28,36,64,1.0,2.0,2.0,7.0
5,0.42857142857142855,0.3333333333333333,2.8000000000000003,2.3,0.6363636363636364,0.5454545454545454,25,22,47,3.0,0.0,3.0,4.0
2,0.16666666666666666,0.3333333333333333,2.8,2.3,0.75,0.2727272727272727,24,28,52,4.0,2.0,6.0,8.0
4,0.4,0.4,2.2,2.1,0.4166666666666667,0.38461538461538464,24,24,48,4.0,0.0,7.0,9.0
2,0.0,0.3333333333333333,1.5,2.5999999999999996,0.23076923076923078,0.46153846153846156,22,27,49,1.0,0.0,8.0,1.0
6,0.6,0.75,2.6,1.7,0.5555555555555556,0.8,25,14,39,2.0,3.0,5.0,4.0
3,0.3333333333333333,0.3333333333333333,2.4,1.0999999999999999,0.5,0.42857142857142855,24,12,36,0.0,1.0,5.0,4.0
4,0.42857142857142855,0.25,2.9000000000000004,1.9,0.6363636363636364,0.4444444444444444,26,20,46,1.0,0.0,6.0,4.0
2,0.2,0.09090909090909091,1.9,4.3,0.5555555555555556,0.6111111111111112,18,39,57,1.0,1.0,6.0,7.5
0,0.0,0.0,0.9000000000000001,2.1,0.1111111111111111,0.45454545454545453,16,22,38,0.5,2.0,7.0,8.0
